artistname,artistURL,day,starttime,endtime,venue,category
Ripdee,https://schedule.sxsw.com/2018/artists/23661,"Mar 14, 2018",7:45pm , 8:00pm,Maggie Mae's,Hip Hop / Rap
The Risin' Sun,https://schedule.sxsw.com/2018/artists/19035,"Mar 17, 2018",12:00am , 12:45am,Hotel Vegas Annex,Rock
Rita Coolidge,https://schedule.sxsw.com/2018/artists/21504,"Mar 16, 2018",9:00pm , 9:40pm,Cooper's BBQ,Singer Songwriter
RJ Comer,https://schedule.sxsw.com/2018/artists/23340,"Mar 13, 2018",12:00am , 12:40am,Saxon Pub,Americana
R.LUM.R.,https://schedule.sxsw.com/2018/artists/19602,"Mar 15, 2018",10:00pm , 10:40pm,St David's Historic Sanctuary,R & B
R.LUM.R.,https://schedule.sxsw.com/2018/artists/19602,"Mar 16, 2018",9:00pm , 9:40pm,Lustre Pearl,R & B
RMBLR,https://schedule.sxsw.com/2018/artists/23214,"Mar 17, 2018",11:00pm , 11:30pm,Hotel Vegas,Punk
Rob Gullatte,https://schedule.sxsw.com/2018/artists/22428,"Mar 13, 2018",9:05pm , 9:20pm,Karma Lounge,Hip Hop / Rap
Rob Stone,https://schedule.sxsw.com/2018/artists/23232,"Mar 16, 2018",1:25am , 1:50am,Dirty Dog Bar,Hip Hop / Rap
Rock Boy Fresh,https://schedule.sxsw.com/2018/artists/22607,"Mar 17, 2018",8:50pm , 9:10pm,18th Over Austin,Spoken Word
Rockstar Jt,https://schedule.sxsw.com/2018/artists/23025,"Mar 16, 2018",7:10pm , 7:25pm,University Avenue Church of Christ,Gospel
Rocky Banks,https://schedule.sxsw.com/2018/artists/20157,"Mar 14, 2018",9:25pm , 9:40pm,Ironwood Hall,Hip Hop / Rap
Rocky Banks,https://schedule.sxsw.com/2018/artists/20157,"Mar 16, 2018",11:35pm , 11:50pm,Maggie Mae's Rooftop,Hip Hop / Rap
Rod Melancon,https://schedule.sxsw.com/2018/artists/22411,"Mar 16, 2018",12:00am , 12:40am,Cooper's BBQ,Americana
Roi Perez,https://schedule.sxsw.com/2018/artists/22977,"Mar 15, 2018",10:30pm , 12:00am,Barcelona,DJ
Roky Erickson,https://schedule.sxsw.com/2018/artists/23567,"Mar 17, 2018",9:00pm , 9:45pm,The SXSW Outdoor Stage presented by MGM Resorts,Rock
Rome Is Not A Town,https://schedule.sxsw.com/2018/artists/20045,"Mar 15, 2018",12:00am , 12:40am,BD Riley's,Rock
Ron Gallo,https://schedule.sxsw.com/2018/artists/22688,"Mar 15, 2018",8:50pm , 9:30pm,Hotel Vegas Patio,Rock
Ronnie Heart,https://schedule.sxsw.com/2018/artists/19787,"Mar 16, 2018",11:00pm , 11:40pm,The Sidewinder Outside,Electronic
The Roots,https://schedule.sxsw.com/2018/artists/23389,"Mar 17, 2018",8:00pm , 12:00am,Fair Market,R & B
Rosemary & Garlic,https://schedule.sxsw.com/2018/artists/21285,"Mar 16, 2018",7:00pm , 7:40pm,Central Presbyterian Church,Folk
Rosemary & Garlic,https://schedule.sxsw.com/2018/artists/21285,"Mar 14, 2018",8:00pm , 8:40pm,Waller Ballroom,Folk
Rosie Flores,https://schedule.sxsw.com/2018/artists/22973,"Mar 16, 2018",9:00pm , 9:40pm,Continental Club,Blues
Roxy Roca,https://schedule.sxsw.com/2018/artists/20908,"Mar 17, 2018",8:00pm , 8:40pm,Palm Door on Sixth,Funk
Royal Forest,https://schedule.sxsw.com/2018/artists/22829,"Mar 17, 2018",10:00pm , 10:40pm,Esther's Follies,Rock
The RPMs,https://schedule.sxsw.com/2018/artists/18751,"Mar 17, 2018",9:30pm , 10:10pm,Barracuda Backyard,Rock
The RPMs,https://schedule.sxsw.com/2018/artists/18751,"Mar 14, 2018",10:00pm , 10:40pm,720 Club,Rock
The Rubilators,https://schedule.sxsw.com/2018/artists/22386,"Mar 15, 2018",1:00am , 1:50am,Saxon Pub,Rock
Ruby Boots,https://schedule.sxsw.com/2018/artists/22452,"Mar 14, 2018",11:00pm , 11:40pm,Continental Club,Rock
Ruby Haunt,https://schedule.sxsw.com/2018/artists/19562,"Mar 16, 2018",10:00pm , 10:40pm,The Iron Bear,Avant / Experimental
Ruby Ibarra,https://schedule.sxsw.com/2018/artists/23332,"Mar 15, 2018",1:00am , 1:50am,Tap Room at The Market,Hip Hop / Rap
Rude Kid,https://schedule.sxsw.com/2018/artists/19897,"Mar 16, 2018",10:55pm , 11:45pm,The Main II,Hip Hop / Rap
Runway Richy,https://schedule.sxsw.com/2018/artists/17398,"Mar 15, 2018",9:05pm , 9:15pm,Ironwood Hall,Hip Hop / Rap
Ruslan,https://schedule.sxsw.com/2018/artists/23325,"Mar 14, 2018",10:25pm , 10:40pm,Buffalo Billiards,Hip Hop / Rap
RVG,https://schedule.sxsw.com/2018/artists/19423,"Mar 13, 2018",9:00pm , 9:40pm,Barracuda,Rock
RVG,https://schedule.sxsw.com/2018/artists/19423,"Mar 15, 2018",1:00am , 1:50am,720 Club,Rock
Ryan Brahms,https://schedule.sxsw.com/2018/artists/23659,"Mar 14, 2018",9:35pm , 9:55pm,Maggie Mae's,Pop
Ryan Culwell,https://schedule.sxsw.com/2018/artists/22282,"Mar 16, 2018",8:00pm , 8:40pm,Hotel Vegas Annex,Americana
RYAN Playground,https://schedule.sxsw.com/2018/artists/22816,"Mar 14, 2018",9:00pm , 9:30pm,The Sidewinder Inside,Electronic
RZA of Wu-Tang Clan feat. Stone Mecca,https://schedule.sxsw.com/2018/artists/23519,"Mar 14, 2018",1:00am , 1:50am,The Belmont,Hip Hop / Rap
Sad Baxter,https://schedule.sxsw.com/2018/artists/22902,"Mar 14, 2018",11:00pm , 11:40pm,Lucille,Rock
SadGirl,https://schedule.sxsw.com/2018/artists/21165,"Mar 17, 2018",1:00am , 1:40am,Waller Ballroom,Rock
Sahad and The Nataal Patchwork,https://schedule.sxsw.com/2018/artists/22752,"Mar 16, 2018",11:00pm , 11:40pm,Malverde,Funk
Said The Whale,https://schedule.sxsw.com/2018/artists/20248,"Mar 15, 2018",10:00pm , 10:40pm,Swan Dive,Rock
Sailor Poon,https://schedule.sxsw.com/2018/artists/23722,"Mar 14, 2018",12:15am , 12:45am,Hotel Vegas at Volstead,Punk
Saint Sister,https://schedule.sxsw.com/2018/artists/22039,"Mar 15, 2018",11:00pm , 11:40pm,The Velveeta Room,Folk
Saint Sister,https://schedule.sxsw.com/2018/artists/22039,"Mar 16, 2018",8:00pm , 8:50pm,Victorian Room at The Driskill,Folk
Saint Sister,https://schedule.sxsw.com/2018/artists/22039,"Mar 14, 2018",7:00pm , 7:30pm,Central Presbyterian Church,Folk
Salem's Bend,https://schedule.sxsw.com/2018/artists/18382,"Mar 16, 2018",8:00pm , 8:30pm,Valhalla,Rock
Salt Cathedral,https://schedule.sxsw.com/2018/artists/23104,"Mar 14, 2018",8:30pm , 9:10pm,The Gatsby,Pop
Salt Cathedral,https://schedule.sxsw.com/2018/artists/23104,"Mar 15, 2018",9:30pm , 10:15pm,Esther's Follies,Pop
Samantha Glass,https://schedule.sxsw.com/2018/artists/18050,"Mar 15, 2018",8:15pm , 8:55pm,Hotel Vegas,Electronic
Sam Fender,https://schedule.sxsw.com/2018/artists/20507,"Mar 16, 2018",10:00pm , 10:40pm,St David's Historic Sanctuary,Singer Songwriter
Sam Fender,https://schedule.sxsw.com/2018/artists/20507,"Mar 14, 2018",11:00pm , 11:40pm,British Music Embassy @ Latitude 30,Singer Songwriter
Sam Fender,https://schedule.sxsw.com/2018/artists/20507,"Mar 15, 2018",9:30pm , 10:10pm,Palm Door on Sixth Patio,Singer Songwriter
Sam Himself,https://schedule.sxsw.com/2018/artists/21160,"Mar 15, 2018",8:45pm , 9:15pm,The Sidewinder Inside,Rock
Sam Morrow,https://schedule.sxsw.com/2018/artists/23010,"Mar 17, 2018",1:00am , 1:50am,Cooper's BBQ,Americana
Sam Morrow,https://schedule.sxsw.com/2018/artists/23010,"Mar 16, 2018",9:00pm , 9:40pm,Saxon Pub,Americana
Sammus,https://schedule.sxsw.com/2018/artists/19154,"Mar 13, 2018",1:10am , 1:50am,The Sidewinder Outside,Hip Hop / Rap
Sammus,https://schedule.sxsw.com/2018/artists/19154,"Mar 16, 2018",11:30pm , 11:55pm,Cheer Up Charlie's Inside,Hip Hop / Rap
Sammus,https://schedule.sxsw.com/2018/artists/19154,"Mar 17, 2018",10:35pm , 11:15pm,Karma Lounge,Hip Hop / Rap
Sampson,https://schedule.sxsw.com/2018/artists/18702,"Mar 14, 2018",11:00pm , 11:40pm,CU29,Pop
Sampson,https://schedule.sxsw.com/2018/artists/18702,"Mar 15, 2018",8:00pm , 8:40pm,Swan Dive Patio,Pop
Samurai Champs,https://schedule.sxsw.com/2018/artists/19175,"Mar 15, 2018",8:00pm , 8:40pm,Swan Dive,R & B
Samurai Champs,https://schedule.sxsw.com/2018/artists/19175,"Mar 13, 2018",1:00am , 1:50am,Bungalow,R & B
Sandovall,https://schedule.sxsw.com/2018/artists/23684,"Mar 16, 2018",11:50pm , 12:15am,Dirty Dog Bar,Pop
Sangat!,https://schedule.sxsw.com/2018/artists/20853,"Mar 15, 2018",8:00pm , 8:40pm,Russian House,World
Sangpuy,https://schedule.sxsw.com/2018/artists/19272,"Mar 12, 2018",11:00pm , 11:40pm,Elysium,World
SANTIAGO,https://schedule.sxsw.com/2018/artists/22915,"Mar 16, 2018",9:35pm , 9:50pm,University Avenue Church of Christ,Gospel
Sarah Klang,https://schedule.sxsw.com/2018/artists/19139,"Mar 17, 2018",9:00pm , 9:40pm,Cooper's BBQ,Alt Country
Sarah Shook & The Disarmers,https://schedule.sxsw.com/2018/artists/22478,"Mar 14, 2018",12:00am , 12:40am,Continental Club,Country
Sarah Shook & The Disarmers,https://schedule.sxsw.com/2018/artists/22478,"Mar 14, 2018",8:00pm , 8:40pm,Javelina,Country
Sara Ontaneda,https://schedule.sxsw.com/2018/artists/22510,"Mar 16, 2018",10:00pm , 10:40pm,CU29,Latin Indie 
Sara Ontaneda,https://schedule.sxsw.com/2018/artists/22510,"Mar 17, 2018",8:30pm , 9:00pm,720 Club Patio,Latin Indie 
sarasara,https://schedule.sxsw.com/2018/artists/17957,"Mar 13, 2018",8:00pm , 8:40pm,The Iron Bear,Avant / Experimental
sarasara,https://schedule.sxsw.com/2018/artists/17957,"Mar 14, 2018",9:00pm , 9:40pm,Highland Lounge,Avant / Experimental
Sass,https://schedule.sxsw.com/2018/artists/23071,"Mar 17, 2018",8:00pm , 8:30pm,Hotel Vegas,Punk
Sassy 009,https://schedule.sxsw.com/2018/artists/19441,"Mar 14, 2018",12:00am , 12:40am,Elysium,Electronic
Sassy 009,https://schedule.sxsw.com/2018/artists/19441,"Mar 15, 2018",10:00pm , 10:40pm,Lucille,Electronic
SassyBlack,https://schedule.sxsw.com/2018/artists/20954,"Mar 13, 2018",9:00pm , 9:40pm,The Iron Bear,R & B
Savak,https://schedule.sxsw.com/2018/artists/19745,"Mar 14, 2018",8:00pm , 8:40pm,720 Club,Punk
Saweetie,https://schedule.sxsw.com/2018/artists/23429,"Mar 16, 2018",1:25am , 1:40am,Parish,Hip Hop / Rap
Saweetie,https://schedule.sxsw.com/2018/artists/23429,"Mar 14, 2018",9:30pm , 9:40pm,The Gatsby,Hip Hop / Rap
Say Anything,https://schedule.sxsw.com/2018/artists/23265,"Mar 14, 2018",11:40pm , 12:40am,Swan Dive Patio,Punk
Say Sue Me,https://schedule.sxsw.com/2018/artists/19030,"Mar 16, 2018",7:30pm , 8:10pm,The Belmont,Rock
Say Sue Me,https://schedule.sxsw.com/2018/artists/19030,"Mar 15, 2018",12:00pm , 12:40pm,International Day Stage Austin Convention Center,Rock
Say Sue Me,https://schedule.sxsw.com/2018/artists/19030,"Mar 17, 2018",1:00am , 1:50am,Esther's Follies,Rock
Scenic Route to Alaska,https://schedule.sxsw.com/2018/artists/19838,"Mar 15, 2018",9:00pm , 9:40pm,Swan Dive,Rock
Scenic Route to Alaska,https://schedule.sxsw.com/2018/artists/19838,"Mar 16, 2018",1:00am , 1:50am,Tap Room at The Market,Rock
Schaffer the Darklord,https://schedule.sxsw.com/2018/artists/23036,"Mar 17, 2018",9:55pm , 10:30pm,Karma Lounge,Hip Hop / Rap
Scott Collins,https://schedule.sxsw.com/2018/artists/18090,"Mar 17, 2018",11:00pm , 11:40pm,Stephen F's Bar,Americana
Sea Moya,https://schedule.sxsw.com/2018/artists/20766,"Mar 15, 2018",9:00pm , 9:40pm,BD Riley's,Pop
Sean C. Johnson,https://schedule.sxsw.com/2018/artists/22897,"Mar 16, 2018",10:05pm , 10:25pm,University Avenue Church of Christ,Gospel
Sean Leon,https://schedule.sxsw.com/2018/artists/23646,"Mar 17, 2018",11:00pm , 11:15pm,Ironwood Hall,Hip Hop / Rap
Sean Leon,https://schedule.sxsw.com/2018/artists/23646,"Mar 15, 2018",11:00pm , 11:20pm,800 Congress,Hip Hop / Rap
Season to Risk,https://schedule.sxsw.com/2018/artists/22434,"Mar 15, 2018",10:00pm , 10:40pm,Dirty Dog Bar,Rock
Second Hand Rose,https://schedule.sxsw.com/2018/artists/22926,"Mar 15, 2018",1:00am , 1:50am,3TEN Austin City Limits Live,Rock
Secret Sands,https://schedule.sxsw.com/2018/artists/19141,"Mar 17, 2018",8:00pm , 8:40pm,Elysium,Electronic
Sego,https://schedule.sxsw.com/2018/artists/22440,"Mar 14, 2018",11:00pm , 11:30pm,Hotel Vegas,Rock
Seis Pistos,https://schedule.sxsw.com/2018/artists/18664,"Mar 14, 2018",10:30pm , 11:00pm,The Main,Rock
SEND MEDICINE,https://schedule.sxsw.com/2018/artists/20966,"Mar 16, 2018",10:00pm , 10:40pm,Lamberts,Rock
SERTIFIED,https://schedule.sxsw.com/2018/artists/22854,"Mar 16, 2018",12:55am , 1:15am,Karma Lounge,Hip Hop / Rap
SETI X,https://schedule.sxsw.com/2018/artists/23351,"Mar 17, 2018",12:00am , 12:30am,Speakeasy Kabaret,Hip Hop / Rap
Seyi Shay,https://schedule.sxsw.com/2018/artists/22749,"Mar 15, 2018",11:35pm , 11:55pm,Highland Lounge,R & B
Seyi Shay,https://schedule.sxsw.com/2018/artists/22749,"Mar 16, 2018",1:00am , 1:50am,Palm Door on Sixth,R & B
The Shacks,https://schedule.sxsw.com/2018/artists/22705,"Mar 15, 2018",10:00pm , 10:40pm,Empire Control Room,Rock
The Shacks,https://schedule.sxsw.com/2018/artists/22705,"Mar 16, 2018",5:00pm , 5:40pm,Radio Day Stage Austin Convention Center,Rock
Shakey Graves,https://schedule.sxsw.com/2018/artists/22974,"Mar 16, 2018",7:40pm , 8:25pm,The SXSW Outdoor Stage presented by MGM Resorts,Rock
Shame,https://schedule.sxsw.com/2018/artists/18140,"Mar 14, 2018",10:15pm , 10:50pm,Barracuda Backyard,Punk
Shame,https://schedule.sxsw.com/2018/artists/18140,"Mar 15, 2018",1:05am , 1:50am,Barracuda,Punk
Shame,https://schedule.sxsw.com/2018/artists/18140,"Mar 14, 2018",12:45am , 1:45am,Cheer Up Charlie's,Punk
Shamir,https://schedule.sxsw.com/2018/artists/18043,"Mar 13, 2018",12:10am , 12:50am,The Sidewinder Outside,Rock
SHAO,https://schedule.sxsw.com/2018/artists/23162,"Mar 15, 2018",11:00pm , 11:40pm,3TEN Austin City Limits Live,Electronic
Sharkmuffin,https://schedule.sxsw.com/2018/artists/18387,"Mar 15, 2018",10:00pm , 10:40pm,720 Club,Rock
Sharkweek,https://schedule.sxsw.com/2018/artists/23650,"Mar 17, 2018",8:00pm , 8:40pm,Barcelona,DJ
Sharlene,https://schedule.sxsw.com/2018/artists/23012,"Mar 15, 2018",9:00pm , 9:30pm,Half Step,Latin Urban/Reggaeton
Shelita Burke,https://schedule.sxsw.com/2018/artists/21598,"Mar 17, 2018",12:00am , 12:40am,The Iron Bear,R & B
Shell of a Shell,https://schedule.sxsw.com/2018/artists/22046,"Mar 16, 2018",8:00pm , 8:30pm,The Velveeta Room,Rock
Sherwood Marty,https://schedule.sxsw.com/2018/artists/23657,"Mar 16, 2018",11:15pm , 11:30pm,Parish,Hip Hop / Rap
Sherwood Marty,https://schedule.sxsw.com/2018/artists/23657,"Mar 14, 2018",10:30pm , 10:45pm,Ironwood Hall,Hip Hop / Rap
She Sir,https://schedule.sxsw.com/2018/artists/17607,"Mar 16, 2018",11:00pm , 11:40pm,The Iron Bear,Rock
Shetler Jones,https://schedule.sxsw.com/2018/artists/23354,"Mar 13, 2018",11:00pm , 11:40pm,Saxon Pub,Singer Songwriter
Shinyribs,https://schedule.sxsw.com/2018/artists/23362,"Mar 17, 2018",8:00pm , 8:40pm,The SXSW Outdoor Stage presented by MGM Resorts,Americana
ShitKid,https://schedule.sxsw.com/2018/artists/20871,"Mar 14, 2018",1:00am , 1:50am,BD Riley's,Rock
ShitKid,https://schedule.sxsw.com/2018/artists/20871,"Mar 16, 2018",8:30pm , 8:55pm,Cheer Up Charlie's Inside,Rock
Shope,https://schedule.sxsw.com/2018/artists/23623,"Mar 15, 2018",8:30pm , 8:45pm,Buffalo Billiards,Hip Hop / Rap
Shopping,https://schedule.sxsw.com/2018/artists/17728,"Mar 15, 2018",10:00pm , 10:40pm,British Music Embassy @ Latitude 30,Punk
Shopping,https://schedule.sxsw.com/2018/artists/17728,"Mar 14, 2018",11:25pm , 12:05am,Hotel Vegas Annex,Punk
Shred Kelly,https://schedule.sxsw.com/2018/artists/19157,"Mar 17, 2018",11:00pm , 11:40pm,Lucille,Folk
Shubzilla x Bill Beats,https://schedule.sxsw.com/2018/artists/23040,"Mar 17, 2018",9:15pm , 9:50pm,Karma Lounge,Hip Hop / Rap
Shy Beast,https://schedule.sxsw.com/2018/artists/19762,"Mar 17, 2018",7:30pm , 8:15pm,Native Hostel,Pop
Shy Speaks,https://schedule.sxsw.com/2018/artists/20967,"Mar 16, 2018",8:50pm , 9:00pm,Carver Museum Boyd Vance Theater,Gospel
Sian Anderson,https://schedule.sxsw.com/2018/artists/23486,"Mar 16, 2018",9:20pm , 10:05pm,The Main II,Hip Hop / Rap
Sie Lieben Maschinen,https://schedule.sxsw.com/2018/artists/22433,"Mar 15, 2018",8:00pm , 8:40pm,Dirty Dog Bar,Rock
Siimba Liives Long/Haile Supreme,https://schedule.sxsw.com/2018/artists/23539,"Mar 14, 2018",11:05pm , 11:25pm,Maggie Mae's,Hip Hop / Rap
Sikwitit,https://schedule.sxsw.com/2018/artists/23815,"Mar 17, 2018",None,TBD,TBD,Hip Hop / Rap
Silibrina,https://schedule.sxsw.com/2018/artists/17373,"Mar 16, 2018",12:30am , 1:20am,Elephant Room,Jazz
SILVASTONE,https://schedule.sxsw.com/2018/artists/20681,"Mar 15, 2018",10:10pm , 10:25pm,Highland Lounge,World
SILVASTONE,https://schedule.sxsw.com/2018/artists/20681,"Mar 16, 2018",8:00pm , 8:40pm,British Music Embassy @ Latitude 30,World
Simen Sez,https://schedule.sxsw.com/2018/artists/23808,"Mar 14, 2018",7:00pm , 7:55pm,House of Because,DJ
Simon Grossmann,https://schedule.sxsw.com/2018/artists/17628,"Mar 14, 2018",8:00pm , 8:40pm,Stephen F's Bar,Singer Songwriter
Simon Grossmann,https://schedule.sxsw.com/2018/artists/17628,"Mar 13, 2018",8:00pm , 8:40pm,Friends,Singer Songwriter
Single Lash,https://schedule.sxsw.com/2018/artists/21501,"Mar 15, 2018",7:15pm , 7:55pm,Hotel Vegas,Rock
The Sisterhood Band,https://schedule.sxsw.com/2018/artists/23271,"Mar 15, 2018",8:45pm , 9:05pm,Fair Market,Country
SISTERS,https://schedule.sxsw.com/2018/artists/20055,"Mar 14, 2018",9:00pm , 9:40pm,Javelina,Pop
Sixo,https://schedule.sxsw.com/2018/artists/22659,"Mar 15, 2018",8:30pm , 8:55pm,Karma Lounge,Hip Hop / Rap
Skanks Roots Project,https://schedule.sxsw.com/2018/artists/19483,"Mar 13, 2018",10:00pm , 10:40pm,Flamingo Cantina,Reggae
Skinny Lister,https://schedule.sxsw.com/2018/artists/18144,"Mar 17, 2018",11:30pm , 12:10am,Barracuda Backyard,Folk
Skooly,https://schedule.sxsw.com/2018/artists/23632,"Mar 15, 2018",11:40pm , 11:55pm,Ironwood Hall,Hip Hop / Rap
Skratch Bastid,https://schedule.sxsw.com/2018/artists/22821,"Mar 16, 2018",10:00pm , 10:55pm,Container Bar,DJ
Skyway Man,https://schedule.sxsw.com/2018/artists/20724,"Mar 15, 2018",1:00am , 1:50am,Continental Club,Rock
slenderbodies,https://schedule.sxsw.com/2018/artists/22770,"Mar 14, 2018",11:00pm , 11:40pm,Blackheart,Rock
slenderbodies,https://schedule.sxsw.com/2018/artists/22770,"Mar 16, 2018",10:00pm , 10:40pm,Bungalow,Rock
Sloppy Jane,https://schedule.sxsw.com/2018/artists/21876,"Mar 14, 2018",7:00pm , 7:30pm,Hotel Vegas at Volstead,Avant / Experimental
Sloppy Jane,https://schedule.sxsw.com/2018/artists/21876,"Mar 17, 2018",8:50pm , 9:20pm,Cheer Up Charlie's,Avant / Experimental
The Sloths,https://schedule.sxsw.com/2018/artists/22473,"Mar 17, 2018",11:15pm , 11:45pm,Hotel Vegas Annex,Rock
Slow Caves,https://schedule.sxsw.com/2018/artists/18081,"Mar 17, 2018",10:25pm , 11:05pm,Swan Dive Patio,Rock
Slum Sociable,https://schedule.sxsw.com/2018/artists/21766,"Mar 15, 2018",9:00pm , 9:40pm,Malverde,Electronic
Slum Sociable,https://schedule.sxsw.com/2018/artists/21766,"Mar 14, 2018",1:00am , 1:40am,Blackheart,Electronic
Small Houses,https://schedule.sxsw.com/2018/artists/22990,"Mar 13, 2018",7:45pm , 8:10pm,Cheer Up Charlie's,Singer Songwriter
Small Island Big Song,https://schedule.sxsw.com/2018/artists/20611,"Mar 14, 2018",8:00pm , 8:40pm,Russian House,World
Small Island Big Song,https://schedule.sxsw.com/2018/artists/20611,"Mar 16, 2018",12:00pm , 12:40pm,International Day Stage Austin Convention Center,World
Smino,https://schedule.sxsw.com/2018/artists/23691,"Mar 14, 2018",10:15pm , 11:00pm,Cheer Up Charlie's,Hip Hop / Rap
Smokepurpp,https://schedule.sxsw.com/2018/artists/21570,"Mar 14, 2018",12:30am , 1:00am,The Gatsby,Hip Hop / Rap
Smokepurpp,https://schedule.sxsw.com/2018/artists/21570,"Mar 13, 2018",11:15pm , 12:00am,Native Hostel,Hip Hop / Rap
Smokepurpp,https://schedule.sxsw.com/2018/artists/21570,"Mar 15, 2018",12:20am , 12:35am,Stubb's,Hip Hop / Rap
Smokey Brights,https://schedule.sxsw.com/2018/artists/17964,"Mar 15, 2018",11:00pm , 11:40pm,Javelina,Rock
Snail Mail,https://schedule.sxsw.com/2018/artists/19717,"Mar 14, 2018",12:30am , 1:15am,Barracuda,Rock
Snail Mail,https://schedule.sxsw.com/2018/artists/19717,"Mar 15, 2018",9:00pm , 9:40pm,Clive Bar,Rock
Snap Dogg,https://schedule.sxsw.com/2018/artists/23624,,None,TBD,TBD,Hip Hop / Rap
Sneaks,https://schedule.sxsw.com/2018/artists/22996,"Mar 14, 2018",1:00am , 1:50am,Javelina,Punk
Sneaks,https://schedule.sxsw.com/2018/artists/22996,"Mar 17, 2018",11:00pm , 11:40pm,Maggie Mae's Rooftop,Punk
SOB X RBE,https://schedule.sxsw.com/2018/artists/23473,"Mar 15, 2018",11:20pm , 11:35pm,Stubb's,Hip Hop / Rap
Soccer Mommy,https://schedule.sxsw.com/2018/artists/22560,"Mar 16, 2018",9:30pm , 9:55pm,Cheer Up Charlie's,Rock
Soda Lilies,https://schedule.sxsw.com/2018/artists/20410,"Mar 16, 2018",8:00pm , 8:40pm,The Iron Bear,Rock
Soia,https://schedule.sxsw.com/2018/artists/19094,"Mar 17, 2018",8:00pm , 8:40pm,Palm Door on Sixth Patio,Soul
Some Kind of Animal,https://schedule.sxsw.com/2018/artists/21368,"Mar 15, 2018",10:00pm , 10:40pm,Lamberts,Rock
Some Kind of Animal,https://schedule.sxsw.com/2018/artists/21368,"Mar 17, 2018",1:00am , 1:50am,Victorian Room at The Driskill,Rock
Son Fjord B2B Daetron Vargas,https://schedule.sxsw.com/2018/artists/23213,"Mar 14, 2018",8:00pm , 9:00pm,Plush,DJ
Sonia Calico,https://schedule.sxsw.com/2018/artists/19032,"Mar 12, 2018",8:00pm , 9:00pm,Elysium,Electronic
Son Little,https://schedule.sxsw.com/2018/artists/21322,"Mar 12, 2018",12:10am , 12:50am,Pour Choices,R & B
Sonny Bonoho,https://schedule.sxsw.com/2018/artists/23759,"Mar 17, 2018",None,TBD,TBD,Hip Hop / Rap
SonReal,https://schedule.sxsw.com/2018/artists/22122,"Mar 16, 2018",11:20pm , 11:50pm,Sheraton BackYARD,Hip Hop / Rap
Sons of an Illustrious Father,https://schedule.sxsw.com/2018/artists/21353,"Mar 14, 2018",11:35pm , 12:05am,Maggie Mae's,Rock
Sons of an Illustrious Father,https://schedule.sxsw.com/2018/artists/21353,"Mar 16, 2018",11:20pm , 11:50pm,Javelina,Rock
Sons Of The East,https://schedule.sxsw.com/2018/artists/22884,"Mar 14, 2018",9:00pm , 9:40pm,Lucille,Folk
SORNE,https://schedule.sxsw.com/2018/artists/23516,"Mar 17, 2018",10:00pm , 10:40pm,Russian House,Avant / Experimental
SoulGroupUniverse,https://schedule.sxsw.com/2018/artists/23562,"Mar 14, 2018",10:00pm , 10:20pm,Cedar Street Courtyard,Hip Hop / Rap
SoundMass,https://schedule.sxsw.com/2018/artists/22494,"Mar 17, 2018",11:00pm , 11:40pm,The Hideout,Avant / Experimental
Southern Avenue,https://schedule.sxsw.com/2018/artists/22535,"Mar 14, 2018",12:00am , 12:40am,BD Riley's,Blues
Soviet,https://schedule.sxsw.com/2018/artists/20797,"Mar 17, 2018",1:00am , 1:50am,Elysium,Electronic
Soweto Kinch,https://schedule.sxsw.com/2018/artists/18066,"Mar 15, 2018",1:00am , 1:50am,Elephant Room,Jazz
Soweto Kinch,https://schedule.sxsw.com/2018/artists/18066,"Mar 14, 2018",12:00am , 12:40am,Waller Ballroom,Jazz
Spaceboifresh,https://schedule.sxsw.com/2018/artists/23051,"Mar 17, 2018",8:00pm , 8:20pm,Tap Room at The Market,Hip Hop / Rap
Special Explosion,https://schedule.sxsw.com/2018/artists/22830,"Mar 15, 2018",10:45pm , 11:25pm,Cheer Up Charlie's Inside,Rock
Special Explosion,https://schedule.sxsw.com/2018/artists/22830,"Mar 14, 2018",8:30pm , 9:00pm,Swan Dive Patio,Rock
Special Guest,https://schedule.sxsw.com/2018/artists/23093,"Mar 15, 2018",1:00am , 1:50am,Cheer Up Charlie's,Rock
Special Guest,https://schedule.sxsw.com/2018/artists/23800,"Mar 15, 2018",11:10pm , 11:30pm,Empire Garage,Hip Hop / Rap
Special Guest,https://schedule.sxsw.com/2018/artists/23800,"Mar 16, 2018",11:25pm , 11:45pm,Cedar Street Courtyard,Hip Hop / Rap
Special Guest ,https://schedule.sxsw.com/2018/artists/23873,"Mar 13, 2018",10:45pm , 11:25pm,Empire Garage,TBD
Speedy Ortiz,https://schedule.sxsw.com/2018/artists/21488,"Mar 15, 2018",10:00pm , 10:40pm,Clive Bar,Rock
Spendtime Palace,https://schedule.sxsw.com/2018/artists/19998,"Mar 14, 2018",8:45pm , 9:25pm,720 Club Patio,Rock
Spirit Adrift,https://schedule.sxsw.com/2018/artists/21619,"Mar 15, 2018",12:00am , 12:40am,Dirty Dog Bar,Metal
Spirit In The Room,https://schedule.sxsw.com/2018/artists/23123,"Mar 17, 2018",1:00am , 1:50am,Barracuda,Rock
spirit of the beehive,https://schedule.sxsw.com/2018/artists/23701,"Mar 14, 2018",7:40pm , 8:10pm,Swan Dive Patio,Rock
