artistname,artistURL,day,starttime,endtime,venue,category
Love Moor,https://schedule.sxsw.com/2018/artists/22937,"Mar 15, 2018",8:00pm , 8:40pm,The Townsend,Soul
Love You Later,https://schedule.sxsw.com/2018/artists/23072,"Mar 14, 2018",1:00am , 1:50am,Malverde,Pop
Low,https://schedule.sxsw.com/2018/artists/22593,"Mar 13, 2018",11:00pm , 12:00am,St David's Historic Sanctuary,Avant / Experimental
Low,https://schedule.sxsw.com/2018/artists/22593,"Mar 14, 2018",9:20pm , 10:00pm,Stubb's,Avant / Experimental
Low Cut Connie,https://schedule.sxsw.com/2018/artists/22708,"Mar 14, 2018",1:00am , 1:50am,Parish,Rock
Low Cut Connie,https://schedule.sxsw.com/2018/artists/22708,"Mar 17, 2018",11:00pm , 11:40pm,Clive Bar,Rock
Low Cut Connie,https://schedule.sxsw.com/2018/artists/22708,"Mar 12, 2018",1:10am , 1:50am,Pour Choices,Rock
LPX,https://schedule.sxsw.com/2018/artists/23330,"Mar 14, 2018",7:25pm , 7:30pm,Empire Garage,Pop
Lucette,https://schedule.sxsw.com/2018/artists/23277,"Mar 14, 2018",11:45pm , 12:30am,Palm Door on Sixth Patio,Alt Country
Lucia,https://schedule.sxsw.com/2018/artists/22966,"Mar 14, 2018",8:35pm , 9:15pm,Hotel Vegas Annex,Rock
Lucky Loc,https://schedule.sxsw.com/2018/artists/23381,,None,TBD,TBD,Hip Hop / Rap
Lucy Dacus,https://schedule.sxsw.com/2018/artists/22806,"Mar 14, 2018",7:30pm , 8:00pm,Stubb's,Rock
Lucy Dacus,https://schedule.sxsw.com/2018/artists/22806,"Mar 16, 2018",10:15pm , 10:40pm,Cheer Up Charlie's,Rock
Lucy Rose,https://schedule.sxsw.com/2018/artists/17602,"Mar 16, 2018",8:00pm , 8:40pm,St David's Historic Sanctuary,Folk
Lucy Spraggan,https://schedule.sxsw.com/2018/artists/19469,"Mar 13, 2018",8:00pm , 8:40pm,Continental Club,Singer Songwriter
Ludo,https://schedule.sxsw.com/2018/artists/23437,"Mar 12, 2018",12:30am , 1:50am,Bungalow,DJ
LUFO,https://schedule.sxsw.com/2018/artists/18388,"Mar 14, 2018",10:10pm , 10:50pm,Speakeasy Kabaret,Latin
Lukas Nelson and Promise of the Real,https://schedule.sxsw.com/2018/artists/23092,"Mar 13, 2018",11:30pm , 12:10am,The Gatsby,Americana
The Lulls,https://schedule.sxsw.com/2018/artists/22941,"Mar 14, 2018",9:00pm , 9:40pm,The Iron Bear,Rock
Luna Lee,https://schedule.sxsw.com/2018/artists/17366,"Mar 15, 2018",9:00pm , 9:40pm,Russian House,Rock
Luna Lee,https://schedule.sxsw.com/2018/artists/17366,"Mar 16, 2018",1:30pm , 2:10pm,Flatstock Stage Austin Convention Center,Rock
Lung,https://schedule.sxsw.com/2018/artists/20981,"Mar 17, 2018",1:00am , 1:50am,Swan Dive,Rock
LuxDeluxe,https://schedule.sxsw.com/2018/artists/22529,"Mar 17, 2018",9:30pm , 10:10pm,Swan Dive Patio,Rock
